dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/cu2cdgex4/selfCon/sym/x0000,x0000,-58.94049862,1,226,5.846696811,5.846187131,11.25362797,89.99977082,89.99983981,90.00006367,384.6589483
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0125,x0125,-59.65821519,1,226,5.807885053,5.807838826,11.17655682,89.8287421,89.82866397,89.9478927,376.9958152
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0250,x0250,-60.38322243,1,226,5.767216183,5.777361464,11.09033086,89.62302083,89.99977611,89.9995887,369.5139767
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0375,x0375,-61.09239408,1,226,5.735309765,5.735332127,11.01575872,89.80627236,89.80604419,89.95304109,362.3470595
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0500,x0500,-61.8184961,1,226,5.699864241,5.69985869,10.93666826,89.99968111,89.99965633,89.99904583,355.3150797
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0625,x0625,-62.59549549,1,226,5.659911513,5.659896316,10.86676621,89.82617773,89.82591351,89.88867422,348.1076803
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0750,x0750,-63.37989558,1,226,5.616290328,5.629186809,10.78870699,89.62118336,90.00006479,89.99871045,341.079104
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/0875,x0875,-64.15275985,1,226,5.584982973,5.584993077,10.71860006,89.80595473,89.80558972,89.95456525,334.3316035
/users/PJS0264/utl0213/vic/cdcugesesx/fixedSym/1000,x1000,-64.94252207,1,226,5.549097273,5.549066192,10.64435311,89.99981067,90.00005493,89.99958207,327.7642002
