dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,bg,group,aAvg,bAvg,cAvg,alphaAvg,betaAvg,gammaAvg,bgAvg,aDev,bDev,cDev,alphaDev,betaDev,gammaDev,bgDev,aMaxDev,bMaxDev,cMaxDev,alphaMaxDev,betaMaxDev,gammaMaxDev,bgMaxDev
/gpfs/scratch/vkb5066/consis/ortho/0875/3,3,-64.12195918,27,92,6.378552672,6.680490086,7.812327496,89.99528357,89.99533077,89.95347431,0.220524,8,6.395157791,6.661141734,7.825198481,89.93824183,89.94290483,89.88508595,0.226051,0.016605119,0.019348351,0.012870985,0.057041739,0.052425939,0.068388354,0.005527,0.016908466,0.019348351,0.012870985,0.120606314,0.111368817,0.181435459,0.032564
/gpfs/scratch/vkb5066/consis/ortho/1000/1,1,-56.61526682,20,92,6.713962621,6.979860019,8.20530057,90.00307069,90.00079763,90.00196995,0.514801625,9,6.709729288,6.975626686,8.201067236,89.99883736,89.9965643,89.99773661,0.512976763,0.004233333,0.004233333,0.004233333,0.004233333,0.004233333,0.004233333,0.001824862,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.001824862
/gpfs/scratch/vkb5066/consis/ortho/1000/2,2,-56.61526682,20,92,6.699962621,6.965860019,8.19130057,89.98907069,89.98679763,89.98796995,0.512697651,9,6.709729288,6.975626686,8.201067236,89.99883736,89.9965643,89.99773661,0.512976763,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.000279111,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.001824862
/gpfs/scratch/vkb5066/consis/ortho/1000/3,3,-56.61526682,20,92,6.715262621,6.981160019,8.20660057,90.00437069,90.00209763,90.00326995,0.511431012,9,6.709729288,6.975626686,8.201067236,89.99883736,89.9965643,89.99773661,0.512976763,0.005533333,0.005533333,0.005533333,0.005533333,0.005533333,0.005533333,0.001545751,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.009766667,0.001824862
/gpfs/scratch/vkb5066/consis/tetra/0000/1,1,-58.93854487,2,92,5.838848723,5.838436458,11.23840023,89.99927373,90.00027628,89.9990518,0.331489,10,5.836382057,5.835969791,11.23593357,89.99680706,89.99780961,89.99658513,0.325689,0.002466667,0.002466667,0.002466667,0.002466667,0.002466667,0.002466667,0.0058,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.0091
/gpfs/scratch/vkb5066/consis/tetra/0000/2,2,-58.93854487,2,92,5.831848723,5.831436458,11.23140023,89.99227373,89.99327628,89.9920518,0.316589,10,5.836382057,5.835969791,11.23593357,89.99680706,89.99780961,89.99658513,0.325689,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.0091,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.0091
/gpfs/scratch/vkb5066/consis/tetra/0000/3,3,-58.93854487,2,92,5.838448723,5.838036458,11.23800023,89.99887373,89.99987628,89.9986518,0.328989,10,5.836382057,5.835969791,11.23593357,89.99680706,89.99780961,89.99658513,0.325689,0.002066667,0.002066667,0.002066667,0.002066667,0.002066667,0.002066667,0.0033,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.004533333,0.0091
/gpfs/scratch/vkb5066/consis/tetra/0125/1,1,-59.656495,23,92,5.805589269,5.805466606,11.16452534,89.85149675,89.85257187,89.93678285,0.38157,11,5.802496395,5.802200774,11.16271682,89.85289472,89.83844636,89.93208411,0.378730333,0.003092874,0.003265832,0.001808519,0.001397971,0.014125515,0.004698737,0.002839667,0.003492266,0.003854923,0.004410535,0.051526379,0.014125515,0.017313219,0.008203333
/gpfs/scratch/vkb5066/consis/tetra/0125/2,2,-59.65383316,2,92,5.802895787,5.802789865,11.16531883,89.9044211,89.83148551,89.94469859,0.384094,11,5.802496395,5.802200774,11.16271682,89.85289472,89.83844636,89.93208411,0.378730333,0.000399392,0.000589091,0.002602016,0.051526379,0.00696085,0.012614482,0.005363667,0.003492266,0.003854923,0.004410535,0.051526379,0.014125515,0.017313219,0.008203333
/gpfs/scratch/vkb5066/consis/tetra/0125/3,3,-59.65677397,32,92,5.799004128,5.798345851,11.15830628,89.80276631,89.83128169,89.91477089,0.370527,11,5.802496395,5.802200774,11.16271682,89.85289472,89.83844636,89.93208411,0.378730333,0.003492266,0.003854923,0.004410535,0.050128408,0.007164665,0.017313219,0.008203333,0.003492266,0.003854923,0.004410535,0.051526379,0.014125515,0.017313219,0.008203333
