dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/ortho/struct/x0000,x0000,-58.86820641,18,226,6.70348993380927859853,6.98893717597172095643,8.21384120421540281483,90.00003085748030696971,90.00001434978685005599,89.99910542838337568950,384.82067815780392547099
/gpfs/scratch/vkb5066/ortho/struct/x0125,x0125,-59.60971831,34,226,6.64321572918230769495,6.96116846809927298407,8.15951035253450228611,89.99996510673708852122,89.99993811078262994954,89.75344212694849849261,377.32933852304908187636
/gpfs/scratch/vkb5066/ortho/struct/x0250,x0250,-60.33684764,9,226,6.59975007427700242681,6.92146097747603316067,8.09903774607303612836,89.85795681880809475469,89.89019288988466437905,89.77037526897762305195,369.95855185402895990444
/gpfs/scratch/vkb5066/ortho/struct/x0375,x0375,-61.06627216,21,226,6.55739274760856573231,6.88193102522946862095,8.04017211779477852059,89.58066838604069418752,89.95838713478464200872,89.75782121249604756744,362.81999668301567459568
/gpfs/scratch/vkb5066/ortho/struct/x0500,x0500,-61.81494459,47,226,6.52423460208851378938,6.80317374571845761376,7.99818190389392080536,89.65262643368422341476,89.87502384106120012503,89.67651817969742808164,354.99025518958367073217
/gpfs/scratch/vkb5066/ortho/struct/x0625,x0625,-62.58065977,49,226,6.46794014227687296426,6.77880551656440335793,7.93871006695362596975,89.61938945497858926982,89.92540908293942699607,89.95144073133649866048,348.06390858756018044796
/gpfs/scratch/vkb5066/ortho/struct/x0750,x0750,-63.33258351,53,226,6.42792574385636463168,6.73641980392588592065,7.87926709947543591654,89.78355337541508719062,89.92255730315378392597,89.96200877345473411024,341.17894737381175417676
/gpfs/scratch/vkb5066/ortho/struct/x0875,x0875,-64.09332727,49,226,6.38806805000131002481,6.69427512004703737732,7.82174881362343047800,89.99995077464488771863,89.99955756718218838008,89.95720598007216531151,334.48514451816424463377
/gpfs/scratch/vkb5066/ortho/struct/x1000,x1000,-64.91394733,23,226,6.36008333012756878336,6.62533859681304168430,7.78497733891355540753,89.99962172814728796895,89.99933089236914524912,89.99948339932231704207,328.04108288984522240525
