dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0000,x0000,-58.86820784,0,1,226,6.70348993380927859853,6.98893717597172095643,8.21384120421540281483,90.00003085748030696971,90.00001434978685005599,89.99910542838337568950,384.82067815780392547099,0.01056,0.00451,0.01629,-0.00008,0.00003,0.00006
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0125,x0125,-59.61068153,0,1,226,6.64321572918230769495,6.96116846809927298407,8.15951035253450228611,89.99996510673708852122,89.99993811078262994954,89.75344212694849849261,377.32933852304908187636,-0.00800,0.01026,0.01018,0.00404,0.00002,-0.00001
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0250,x0250,-60.33685183,0,1,226,6.59975007427700242681,6.92146097747603316067,8.09903774607303612836,89.85795681880809475469,89.89019288988466437905,89.77037526897762305195,369.95855185402895990444,-0.01318,-0.01529,-0.01334,0.00355,-0.00196,0.00068
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0375,x0375,-61.06628071,-.00000022,2,226,6.55739274760856573231,6.88193102522946862095,8.04017211779477852059,89.58066838604069418752,89.95838713478464200872,89.75782121249604756744,362.81999668301567459568,0.01431,0.02189,0.01596,0.00135,-0.00374,-0.00280
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0500,x0500,-61.82377980,-.00000072,10,226,6.52423460208851378938,6.80317374571845761376,7.99818190389392080536,89.65262643368422341476,89.87502384106120012503,89.67651817969742808164,354.99025518958367073217,0.17171,0.28878,0.32672,0.00160,-0.01693,0.00137
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0625,x0625,-62.59524926,-.00000081,11,226,6.46794014227687296426,6.77880551656440335793,7.93871006695362596975,89.61938945497858926982,89.92540908293942699607,89.95144073133649866048,348.06390858756018044796,0.43008,0.49342,0.47773,0.01033,-0.02258,0.00172
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0750,x0750,-63.35517598,-.00000055,10,226,6.42792574385636463168,6.73641980392588592065,7.87926709947543591654,89.78355337541508719062,89.92255730315378392597,89.96200877345473411024,341.17894737381175417676,0.71135,0.77489,0.77921,-0.02336,-0.02511,0.00972
/gpfs/scratch/vkb5066/ortho/elas/initRel/x0875,x0875,-64.12746119,-.00000054,16,226,6.38806805000131002481,6.69427512004703737732,7.82174881362343047800,89.99995077464488771863,89.99955756718218838008,89.95720598007216531151,334.48514451816424463377,0.92983,0.93484,1.03752,0.02348,0.00000,-0.00172
/gpfs/scratch/vkb5066/ortho/elas/initRel/x1000,x1000,-64.91409091,0,1,226,6.36008333012756878336,6.62533859681304168430,7.78497733891355540753,89.99962172814728796895,89.99933089236914524912,89.99948339932231704207,328.04108288984522240525,0.02984,0.02844,0.02716,0.00424,-0.00050,0.00075
/gpfs/scratch/vkb5066/ortho/elas/x0000/1/n0.001,n0.001,-58.86806243,-.00000087,6,226,6.69678644391795336844,6.98893717597557627576,8.21384120420837636218,90.00003085756717059781,90.00001438783143843270,89.99910547503335798547,384.43585748197374400073,1.06665,0.32425,0.35368,-0.00025,0.00002,0.00005
