x,c11,c22,c33,c44,c55,c66,c12,c13,c23,s11,s22,s33,s44,s55,s66,s12,s13,s23
0.0,104.33215196111452,84.1311576961634,89.41931691883607,21.568534493016088,19.561014591450046,17.6757212942916,31.851181983019256,35.624445073683084,43.333642675756764,0.011524862538065072,0.016455339848637996,0.01584875019551509,0.04636383618570844,0.051122092636089106,0.05657477753527102,-0.002662948034272235,-0.003300982428167124,-0.006913537168810475
0.125,108.07405444744175,86.24487638540468,92.26523352516381,22.03617523119989,20.053551825564135,18.50948944890302,33.00186905863172,34.83072314287637,44.42871921055688,0.011005513942197453,0.01610924994079076,0.01514068903366506,0.04537992594033066,0.04986647795355667,0.05402634161037142,-0.002754261782419745,-0.0028283859025954525,-0.006717377597451921
0.25,109.04805823609118,86.0514658219645,89.34650365147245,21.769150613408122,20.582850378951314,19.078398963750804,33.970256242599156,35.14078038070925,44.77254840474514,0.010986698856719601,0.016446150626395376,0.01590796797817263,0.04593656490134608,0.04858413589901194,0.05241529972719475,-0.002825592848929607,-0.0029052304054865224,-0.007130022006540823
0.375,112.29379005968516,89.12609099584134,89.53172286171367,22.31054151340104,20.861180353602553,19.996768110956275,35.60665591427023,36.530209656553154,45.09484591203657,0.010760717848936799,0.015779674297895376,0.015817809322573963,0.044821861423638705,0.047935926110111424,0.05000808102845868,-0.00278805679349521,-0.002986252012518061,-0.0068102529730911495
0.5,115.3682555549436,92.4677860980634,98.53752593158627,23.658703365216905,21.17042596505696,20.442173240749735,36.43520267863592,37.60801516772205,47.28549126918042,0.010398369739391329,0.015053555473237208,0.014125853985926895,0.042267743272448435,0.04723570520737557,0.04891847790461853,-0.0027402622579143026,-0.0026536834300902594,-0.0061779401865981465
0.625,119.47701012899687,93.84689319810157,99.54225554461931,23.289599861683808,21.836332249199966,21.070572008369734,37.91647533827989,38.17753743957457,47.41630817044445,0.010063238261607571,0.014804524893502622,0.013867351235623375,0.04293762048034179,0.045795236516271536,0.04745955637097921,-0.0027863463564747155,-0.0025323054677487446,-0.005983389356256112
0.75,121.87261599276691,95.6327072537686,99.01986527802703,24.775762895079957,22.7844909928654,21.591874594693646,38.299573309109896,38.991227080793735,47.51815759514231,0.009876494708857556,0.014445173443846477,0.013953039796120878,0.04036202655937521,0.04388950362389636,0.046313718413581235,-0.0026563895075201235,-0.002614323014640009,-0.005886012266878327
0.875,124.17538994881741,97.54584933535787,102.1989708343725,24.886330753606185,23.41939998765992,22.416070666007528,39.24223699765227,41.70257499013319,50.831588789734795,0.009763503562487457,0.014478203353955908,0.01397761453614246,0.04018270149588419,0.04269964219949773,0.04461085151361666,-0.0024995731620577107,-0.002740790460712578,-0.006181191815445824
1.0,129.09929739344346,102.95485640130416,108.6720123205438,26.02949085406802,24.013240998804857,22.105487329204355,41.64404560818718,42.613534029538805,51.889783477882766,0.009381931011933593,0.013487530280621496,0.012762669582057452,0.03841796236455063,0.0416436914971107,0.04523763647946653,-0.0025557370316800746,-0.0024585961880547865,-0.005437978245950534
