tetra
conc,eForm
0.0,-5.585513803333335
0.125,-5.739735466666666
0.25,-5.9012478
0.375,-6.04692454333334
0.5,-6.2095316566666625
0.625,-6.423036140000001
0.75,-6.643941323333337
0.875,-6.853310686666667
1.0,-7.079577999999998
ortho
conc,eForm
0.0,-5.512326573333333
0.125,-5.691222536666665
0.25,-5.853750220000002
0.375,-6.019555513333344
0.5,-6.213485016666667
0.625,-6.421802730000003
0.75,-6.618396463333333
0.875,-6.827199476666671
1.0,-7.051146850000009
