tetra
hole
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
0.0,0.0,0.0,0.0,63,0.16976088084127833,1.000,-0.000,-0.000,0.16976218018330216,-0.000,1.000,-0.000,0.2653076574073192,0.707,0.707,-0.000,0.26540050660830666,0.707,-0.707,0.000,0.11272725642161306,-0.000,-0.000,1.000,0.20683927463702867,0.849,-0.000,0.529,0.20692847140741774,0.849,-0.000,-0.529,0.20685542900326942,-0.000,0.849,0.529,0.31468204440207337,0.647,0.647,0.403,0.3148703495116846,0.647,-0.647,-0.403,0.20692821134780998,0.000,-0.849,0.529,0.31484549460459027,0.647,-0.647,0.403,0.31484793222220586,0.647,0.647,-0.403
0.125,0.0,0.0,0.0,63,0.17824404384981754,1.000,-0.000,-0.001,0.17824303243227224,-0.000,1.000,-0.001,0.276096085716484,0.707,0.707,-0.002,0.2740322961942619,-0.707,0.707,-0.000,0.12100381520031307,-0.001,-0.001,1.000,0.21564001996689405,0.849,-0.001,0.529,0.21556358347354931,-0.848,-0.000,0.530,0.2144114404659749,-0.001,0.849,0.529,0.3251840151254988,0.647,0.647,0.402,0.32304099707630013,-0.648,0.646,0.403,0.2167990629204905,-0.000,-0.848,0.530,0.325738728107685,0.646,-0.648,0.403,0.3272181716585689,-0.647,-0.647,0.405
0.25,0.0,0.0,0.0,63,0.18471981224017067,1.000,-0.000,-0.000,0.18651761407205208,-0.000,1.000,-0.003,0.2829226617990304,0.708,0.706,-0.002,0.2829210536368305,-0.708,0.706,-0.002,0.12882355792665312,-0.000,-0.003,1.000,0.22279013597568056,0.848,-0.002,0.529,0.22279421395405444,-0.848,-0.002,0.529,0.22078094631536851,-0.000,0.849,0.529,0.3312820213212295,0.649,0.646,0.403,0.331284509593869,-0.649,0.646,0.403,0.2261572706213461,0.000,-0.847,0.531,0.3361469844017391,0.646,-0.646,0.405,0.3361560821922632,-0.646,-0.646,0.405
0.375,0.0,0.0,0.0,63,0.19338830453988545,1.000,-0.000,-0.002,0.1933876341321316,-0.000,1.000,-0.002,0.28775948367085696,0.707,0.707,-0.002,0.29635297569372776,-0.707,0.707,-0.000,0.13695266630661793,-0.002,-0.002,1.000,0.23087566516030947,0.848,-0.001,0.529,0.2306589912988686,-0.848,-0.001,0.530,0.22925718360573172,-0.001,0.848,0.529,0.3373718536873034,0.647,0.647,0.403,0.3455180868358724,-0.648,0.646,0.404,0.23228596085378353,-0.001,-0.848,0.530,0.3486245017938188,0.646,-0.648,0.404,0.3397738783848808,-0.646,-0.646,0.406
0.5,0.0,0.0,0.0,63,0.20004677751874939,1.000,-0.000,-0.000,0.20004654477144096,-0.000,1.000,-0.000,0.29956366629260256,0.707,0.707,-0.000,0.29959224566636045,-0.707,0.707,0.000,0.14473649749932316,-0.000,-0.000,1.000,0.23744214377440787,0.848,-0.000,0.530,0.23743907982658777,0.000,-0.848,-0.530,0.2374616375685875,-0.848,0.000,0.530,0.23746405723749242,-0.000,0.848,-0.530,0.3502641081864137,0.647,0.647,0.404,0.35031164948610777,-0.647,0.647,0.404,0.35031587741432346,-0.647,0.647,-0.404,0.3503040379632292,-0.647,-0.647,0.404
0.625,0.0,0.0,0.0,63,0.21131638245750586,1.000,-0.001,-0.002,0.21131714527568432,-0.001,1.000,-0.002,0.3114638245411233,0.707,0.707,-0.002,0.3126412114822356,-0.707,0.707,-0.000,0.15414205081394422,-0.002,-0.002,1.000,0.24837538345253846,0.848,-0.002,0.529,0.24932492787353996,-0.848,0.000,0.531,0.2479633356497422,-0.002,0.848,0.529,0.3617314176895548,0.647,0.647,0.403,0.364055178509573,-0.647,0.646,0.404,0.24974082775613318,0.000,-0.848,0.531,0.3656989254529786,0.646,-0.647,0.404,0.36405181161785577,-0.646,-0.646,0.406
0.75,0.0,0.0,0.0,63,0.22026562611622447,1.000,-0.000,-0.000,0.22284005355487604,-0.000,1.000,-0.003,0.3226178294130265,0.708,0.706,-0.002,0.32265014014179083,-0.708,0.706,-0.002,0.16359975915023087,-0.000,-0.003,1.000,0.25862558697613436,0.848,-0.002,0.530,0.2586419696317354,-0.848,-0.002,0.530,0.2580782606656179,-0.000,0.848,0.529,0.37372570283166034,0.649,0.646,0.403,0.37378138375083203,-0.649,0.646,0.403,0.2615341467605517,0.000,-0.847,0.532,0.37718056643523634,0.646,-0.646,0.406,0.37716911759586164,-0.646,-0.646,0.406
0.875,0.0,0.0,0.0,63,0.23181957758160765,1.000,-0.000,-0.002,0.23181867218859947,-0.000,1.000,-0.002,0.33062430802888293,0.707,0.707,-0.002,0.33763569449473985,-0.707,0.707,0.000,0.1733892370495405,-0.002,-0.002,1.000,0.2689831386889549,0.848,-0.001,0.530,0.27062516165014494,0.001,0.848,-0.531,0.27005880920428293,-0.848,-0.001,0.531,0.268419591122985,0.001,-0.848,-0.530,0.3829944965498783,0.647,0.647,0.403,0.3857090446075796,0.646,0.646,-0.406,0.38995929780081967,-0.647,0.646,0.404,0.39145664325693225,0.646,-0.647,0.404
1.0,0.0,0.0,0.0,63,0.2408465591207018,1.000,-0.000,-0.000,0.24084455872281027,-0.000,1.000,-0.000,0.34380598526484973,0.707,0.707,-0.000,0.34391915931425193,-0.707,0.707,-0.000,0.18305259121797832,-0.000,-0.000,1.000,0.27875671931728485,0.848,-0.000,0.530,0.2788343764117275,-0.848,0.000,0.530,0.2787503847021165,-0.000,0.848,0.530,0.3976921300207153,0.647,0.647,0.405,0.39788937445408096,-0.647,0.647,0.404,0.2788378097539949,0.000,-0.848,0.530,0.397885149672735,0.647,-0.647,0.405,0.3978655152601613,-0.647,-0.647,0.405
ortho
hole
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
0.0,0.0,0.0,0.0,62,-1.3509282091057144,1.000,-0.000,-0.000,-1.4058066412080965,-0.000,1.000,-0.000,-1.346227192511195,0.722,0.692,-0.000,-1.346424817966758,-0.722,0.692,-0.000,-0.7743430546254886,-0.000,-0.000,1.000,-1.0467769383171839,0.714,-0.000,0.700,-1.0467968614884664,-0.714,0.000,0.700,-1.0439907668278585,-0.000,0.700,0.714,-1.0439817703763172,0.000,-0.700,0.714,-1.1347970368745177,0.589,0.565,0.577,-1.1348057010602344,-0.589,-0.565,0.577,-1.134781225370612,-0.589,0.565,0.577,-1.1347576440933704,0.589,-0.565,0.577
0.125,0.0,0.0,0.0,62,-1.3872498109669584,1.000,-0.002,-0.000,-1.4424387965699679,-0.002,1.000,-0.000,-1.3603989339845242,0.724,0.690,-0.000,-1.3999895919927623,-0.723,0.690,-0.000,-0.7598738956044255,-0.000,-0.000,1.000,-1.0355554340877653,0.715,-0.002,0.699,-1.035576560196558,-0.715,0.002,0.699,-1.03768864570614,-0.002,0.699,0.715,-1.037736176911654,0.002,-0.699,0.715,-1.1373954301404443,0.590,0.563,0.578,-1.1374676340155274,-0.590,-0.563,0.578,-1.1521416806482105,-0.591,0.564,0.576,-1.1521666216134052,0.591,-0.564,0.576
0.25,0.0,0.0,0.0,62,-1.4331147984736012,1.000,-0.002,-0.001,-1.5430134731583895,-0.002,1.000,-0.001,-1.4280017221238084,0.724,0.690,-0.002,-1.4644165504721283,-0.724,0.690,-0.000,-0.6807183972564705,-0.001,-0.001,1.000,-0.9646711346195862,0.715,-0.002,0.699,-0.958700016486088,-0.715,0.001,0.699,-1.030384576134943,-0.002,0.698,0.716,-1.1566661451879712,0.591,0.563,0.578,-1.1417847480289813,-0.592,0.563,0.577,-1.0003200122819687,0.001,-0.698,0.716,-1.1259933156497888,0.590,-0.564,0.577,-1.11234330545718,-0.590,-0.563,0.579
0.375,0.0,0.0,0.0,62,-1.550332416801444,1.000,-0.002,-0.000,-1.6606397097571697,-0.002,1.000,-0.004,-1.5385531631323213,0.724,0.690,-0.003,-1.5683384348316578,-0.724,0.690,-0.002,-0.8183972836103258,-0.000,-0.004,1.000,-1.0700100466699605,0.715,-0.004,0.699,-1.082255618475748,-0.715,-0.001,0.699,-1.0751069900358616,-0.002,0.698,0.717,-1.2084530493018077,0.592,0.562,0.578,-1.1879069797112671,-0.593,0.562,0.577,-1.0969357297646785,0.001,-0.698,0.716,-1.226931839504151,0.590,-0.564,0.578,-1.1832735018909146,-0.589,-0.563,0.580
0.5,0.0,0.0,0.0,62,-1.6599428574497104,1.000,-0.003,-0.001,-1.409751836493576,-0.003,1.000,-0.003,-1.3997089762431028,0.722,0.692,-0.003,-1.552859654868226,-0.722,0.692,-0.001,-0.8973263307783109,-0.001,-0.003,1.000,-1.1675244080811207,0.715,-0.004,0.699,-1.1894694176074831,-0.715,-0.000,0.700,-1.2189987759439112,-0.003,0.700,0.714,-1.3020691350696698,0.590,0.565,0.577,-1.3182002157058363,-0.591,0.565,0.576,-1.1159370426083421,0.001,-0.700,0.714,-1.2479247819772707,0.589,-0.567,0.576,-1.2112167321552623,-0.588,-0.565,0.579
0.625,0.0,0.0,0.0,62,-1.4710396687941807,1.000,-0.000,-0.001,-1.7236085811820305,-0.000,1.000,-0.003,-1.4807986801567519,0.724,0.690,-0.003,-1.6080690595862783,-0.723,0.690,-0.002,-0.9186519088544741,-0.001,-0.003,1.000,-1.1945095419991862,0.715,-0.003,0.699,-1.1899543908878754,-0.715,-0.002,0.699,-1.1777009818494135,-0.001,0.698,0.716,-1.2632731287258816,0.592,0.563,0.577,-1.2746162736003133,-0.592,0.563,0.577,-1.2511528981505138,-0.000,-0.698,0.716,-1.3205472215136087,0.589,-0.565,0.578,-1.335136976467468,-0.589,-0.564,0.578
