x,c11,c22,c33,c44,c55,c66,c12,c13,c23,s11,s22,s33,s44,s55,s66,s12,s13,s23
0.0,76.03846554056165,76.05512627797668,76.93814594628265,31.076014640272543,31.06069269987233,32.631265747586,48.07369689924666,46.16098348610236,46.1547356982317,0.025154692267715145,0.025142128610701815,0.023469867302580483,0.03217915847883736,0.03219503214762851,0.03064545542717656,-0.010600223796355198,-0.008733181680440133,-0.008722741327480294
0.125,78.14081778989484,77.87246998638811,72.61540283287133,31.77811789442947,31.81059890783179,33.45938977376269,49.02416982662148,47.705501402588595,47.5236684411555,0.024985315509482624,0.025001282475522156,0.027084988667587948,0.031468194665339025,0.03143606327241451,0.029886976623349954,-0.009510586781204398,-0.010190111220810929,-0.010114181279563634
0.25,78.98589265682726,79.80723643410883,73.22719504253723,32.165271508014335,32.6913093660638,33.74818554142779,50.26735373992863,48.348407281215636,48.079891052341125,0.025030313878813926,0.024420657727304413,0.026762509603950043,0.0310894313374858,0.030589169396747388,0.02963122265558378,-0.009611042832302342,-0.010215848320812036,-0.009688531006681647
0.375,81.4906123854346,81.67884888109066,75.13162971894594,33.126149647711806,33.14067796869456,34.8932355730272,51.542059068815085,49.50746255220981,49.591158309569344,0.024039913648732814,0.024001681405808738,0.026145514904123642,0.030187631542897265,0.030174397788259574,0.028658849876708182,-0.00926526671647285,-0.009725328985133848,-0.009737195107120273
0.5,83.07439158591298,83.11175329233737,77.17188662122273,33.95148167669579,33.95277001288681,36.010401406841005,52.42619981834612,50.53009337346188,50.54201047167952,0.02352101733094671,0.023510785993543122,0.025328371964398067,0.029453795552209946,0.029452677929383934,0.027769754319095896,-0.009092577787643673,-0.009445953340389586,-0.009444288835975388
0.625,89.87034077038665,89.7894677209428,79.2983264175367,34.57766686527144,34.57602310649399,37.578024134096125,54.01201957659484,51.43065702919722,51.356030270084,0.02043691225280239,0.020431179065323365,0.02348873650060348,0.028920401249060673,0.028921776137180513,0.026611298040352734,-0.007484995690019596,-0.008407291675630466,-0.008377301695322107
0.75,88.57705997682773,87.7832035860338,82.26244575217373,35.85237985272079,36.635499386037324,38.69982797392642,55.61356580396966,53.723878913277495,52.62100234597847,0.02214863317790405,0.02189004683933836,0.023294885567426954,0.027892151207477275,0.027295929269661443,0.025839908143099215,-0.008695225466434931,-0.00890271375449448,-0.00832378565629884
0.875,91.62780866825706,91.72228303226724,85.3801780173943,37.119866914369055,37.20835105646785,40.256518433684654,57.69918986619071,55.206230516994566,55.22847991804063,0.021142822646771618,0.021118018024487845,0.022443101898417268,0.026939751758994084,0.026875687086546453,0.02484069757913416,-0.008302259541081337,-0.008300455479657758,-0.008292083675360315
1.0,93.38763660530637,93.3443411357786,87.51551352772692,37.94132422560784,37.96384485768199,41.43760823798146,59.637768054199924,56.30122338877916,56.19228639597491,0.021037716787283365,0.021002178846171466,0.02166336579000708,0.026356486506737876,0.02634085150618378,0.02413266697867485,-0.008628899511807703,-0.007993686737146129,-0.00793394018570155
