dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/6/n0.002,n0.002,-64.941844,-0.00000152,3,226,5.549117642,5.549082626,10.6443673,89.99981757,90.00007091,89.77138696,327.7642003,0.01185,0.01295,0.01453,1.66384,-0.00016,-0.00089
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/6/p0.001,p0.001,-64.94234913,-0.00000016,2,226,5.549100962,5.549071848,10.64435666,89.99980724,90.00004695,89.88499046,327.7642002,0.01366,0.01518,0.01834,-0.83645,0.00049,-0.00007
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/6/p0.002,p0.002,-64.9418413,-0.00000281,11,226,5.549113899,5.549086752,10.6443673,89.99980381,90.00003897,89.77039907,327.7642002,0.01009,0.01203,0.0177,-1.6642,0.00036,-0.00017
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/7/n0.001,n0.001,-64.9424522,-0.00000124,6,226,5.543550024,5.55461711,10.64435666,89.99981892,90.00005147,89.99960238,327.7642002,0.35547,-0.32527,0.01303,-0.00089,0.00006,-0.00057
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/7/n0.002,n0.002,-64.94224602,-0.00000342,7,226,5.538006463,5.560171738,10.6443673,89.99982715,90.000048,89.99962269,327.7642002,0.68811,-0.66497,0.01103,-0.0008,-0.00017,-0.00033
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/7/p0.001,p0.001,-64.94245163,-0.00000112,6,226,5.554648222,5.543518974,10.64435666,89.99980242,90.00005839,89.99956176,327.7642002,-0.32916,0.35463,0.01077,-0.00165,0.00041,-0.00082
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/7/p0.002,p0.002,-64.94224469,-0.00000327,7,226,5.560202881,5.537975444,10.6443673,89.99979415,90.00006185,89.99954144,327.7642002,-0.66708,0.69052,0.01125,-0.00257,0.00085,-0.00111
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/8/n0.001,n0.001,-64.9424523,-0.00000116,3,226,5.543550024,5.549068042,10.65500102,89.99980243,90.00004801,89.99959223,327.7642002,0.39715,0.04784,-0.29011,-0.00034,0.00023,-0.00006
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/8/n0.002,n0.002,-64.94224579,-0.00000102,7,226,5.538006463,5.549073591,10.66565604,89.99979419,90.00004108,89.9996024,327.7642002,0.76107,0.08726,-0.59973,-0.00139,0.00024,-0.00082
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/8/p0.001,p0.001,-64.94244928,-0.00000183,3,226,5.554648222,5.549068042,10.6337123,89.99981892,90.00006186,89.99957192,327.7642002,-0.36977,-0.01667,0.32892,-0.00086,0.0002,0.00014
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/8/p0.002,p0.002,-64.94223775,-0.00000044,7,226,5.560202881,5.549073591,10.62307857,89.99982719,90.00006879,89.99956178,327.7642002,-0.74291,-0.04868,0.6299,-0.00247,0.00044,-0.00022
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/9/n0.001,n0.001,-64.94245196,-0.00000112,3,226,5.549099123,5.543518974,10.65500102,89.99979417,90.00005147,89.99957191,327.7642002,0.0467,0.39755,-0.29068,-0.00038,0.0002,0.00005
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/9/n0.002,n0.002,-64.94224395,-0.00000049,6,226,5.549104672,5.537975444,10.66565604,89.99977767,90.00004802,89.99956174,327.7642002,0.07815,0.76484,-0.6011,-0.00041,0.00026,-0.00038
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/9/p0.001,p0.001,-64.94244934,-0.00000187,3,226,5.549099123,5.55461711,10.6337123,89.99982717,90.0000584,89.99959222,327.7642002,-0.01757,-0.36914,0.32856,-0.00081,0.00021,0.00007
/gpfs/scratch/vkb5066/tetraTetra/elas/x1000/9/p0.002,p0.002,-64.9422382,-0.00000053,7,226,5.549104672,5.560171738,10.62307857,89.99984367,90.00006187,89.99960236,327.7642002,-0.05032,-0.74186,0.62961,-0.00224,0.00024,-0.00014
